fold,origin_week,n_test,model_wape,baseline_wape,model_mape,baseline_mape,model_bias,baseline_bias,model_beats_baseline
0,2026-04-27T00:00:00.000000,1188,0.25766809747171565,0.3506915825727345,0.32707622518282387,0.5673860557951218,0.11979108224689702,1.5001935035633935,True
1,2026-05-04T00:00:00.000000,1188,0.26462292578317326,0.344191420997898,0.32648314366189174,0.5537903403292876,-1.6374161855350844,0.6821383485647522,True
2,2026-05-11T00:00:00.000000,1188,0.2534646667385026,0.3494774861816928,0.331912756583619,0.5541786229908113,0.6984176048619744,1.290894067563798,True
3,2026-05-18T00:00:00.000000,1188,0.25089685719262533,0.35425125641260635,0.3323224844949309,0.5489280127377484,-1.2572294430567306,1.318392176206627,True
4,2026-05-25T00:00:00.000000,1188,0.28530026232110883,0.37890198230306593,0.3670338637158372,0.569070009079441,-2.185887823401222,0.18177692927810501,True
5,2026-06-01T00:00:00.000000,1194,0.3108457002125507,0.3971716659842866,0.4618771761766724,0.5906612151658862,-1.3135147993565575,0.9916776614658088,True
6,2026-06-08T00:00:00.000000,1194,0.3103967600041862,0.4035801986382841,0.4065297867748097,0.5996521628222649,-1.4883226248261765,0.8971776649549232,True
7,2026-06-15T00:00:00.000000,1194,0.31708189988675384,0.40410117776093535,0.43253137558380333,0.628829865053823,-1.7327835858547886,1.3452535832227268,True
8,2026-06-22T00:00:00.000000,1194,0.31657414510034676,0.40102784097439365,0.4252568539564844,0.6275838029466381,-3.158468078236714,1.0709350296873068,True
9,2026-06-29T00:00:00.000000,1194,0.3263588513308519,0.39913682084418545,0.46691909366982143,0.6400094039498122,-0.9903693350471447,-0.02155283291692782,True
