date,sku_id,units_sold,revenue,unit_price,promo_flag,units_sold_corrected_negative,units_sold_imputed,unit_price_imputed,week,month,season,is_holiday,promo_event,category,subcategory,launch_date,unit_cost,list_price,on_hand_units,on_order_units,lead_time_days,reorder_point,lag_1,lag_7,lag_14,lag_28,roll_mean_7,roll_mean_28,roll_std_7,day_of_week,is_weekend,week_of_year,is_promo,has_promo_event,days_since_launch,discount_pct
2026-02-17,SKU-0001,7.0,19510.4,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,,,,,,,,1,0,8,0,0,0,0.0
2026-02-18,SKU-0001,4.0,11148.8,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,7.0,,,,,,,2,0,8,0,0,1,0.0
2026-02-19,SKU-0001,6.0,16723.2,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,4.0,,,,,,,3,0,8,0,0,2,0.0
2026-02-20,SKU-0001,6.0,16723.2,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,6.0,,,,,,,4,0,8,0,0,3,0.0
2026-02-21,SKU-0001,11.0,30659.2,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,6.0,,,,,,,5,1,8,0,0,4,0.0
2026-02-22,SKU-0001,9.0,25084.8,2787.2,0,False,False,False,8,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,,,,,11.0,,,,,,,6,1,8,0,0,5,0.0
2026-02-23,SKU-0001,7.0,19510.4,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,9.0,,,,,,,0,0,9,0,0,6,0.0
2026-02-24,SKU-0001,11.0,30659.2,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,7.0,7.0,,,7.142857142857143,,2.2677868380553634,1,0,9,0,0,7,0.0
2026-02-25,SKU-0001,6.0,16723.2,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,11.0,4.0,,,7.714285714285714,,2.6903708365381975,2,0,9,0,0,8,0.0
2026-02-26,SKU-0001,10.0,27872.0,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,6.0,6.0,,,8.0,,2.3094010767585034,3,0,9,0,0,9,0.0
2026-02-27,SKU-0001,6.0,16723.2,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,10.0,6.0,,,8.571428571428571,,2.225394561056748,4,0,9,0,0,10,0.0
2026-02-28,SKU-0001,7.0,19510.4,2787.2,0,False,False,False,9,2,Winter,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,6.0,11.0,,,8.571428571428571,,2.225394561056748,5,1,9,0,0,11,0.0
2026-03-01,SKU-0001,17.0,38853.57,2285.5,1,False,False,False,9,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,145.8,0.0,18.0,129.4,7.0,9.0,,,8.0,,2.0000000000000004,6,1,9,1,1,12,0.18000143513203204
2026-03-02,SKU-0001,18.0,41139.07,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,17.0,7.0,,,9.142857142857142,,3.9761191895520205,0,0,10,1,1,13,0.18000143513203204
2026-03-03,SKU-0001,20.0,45710.08,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,18.0,11.0,7.0,,10.714285714285714,,5.023753102820166,1,0,10,1,1,14,0.18000143513203204
2026-03-04,SKU-0001,15.0,34282.56,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,20.0,6.0,4.0,,12.0,,6.137317546507324,2,0,10,1,1,15,0.18000143513203204
2026-03-05,SKU-0001,14.0,31997.06,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,15.0,10.0,6.0,,13.285714285714286,,5.589105048046176,3,0,10,1,1,16,0.18000143513203204
2026-03-06,SKU-0001,19.0,43424.58,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,14.0,6.0,6.0,,13.857142857142858,,5.398412465054625,4,0,10,1,1,17,0.18000143513203204
2026-03-07,SKU-0001,2.779866118450286,6353.4,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,19.0,7.0,11.0,,15.714285714285714,,4.386125310350269,5,1,10,1,1,18,0.18000143513203204
2026-03-08,SKU-0001,0.0,0.0,2285.5,1,False,False,False,10,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,70.8,127.4,18.0,129.4,2.779866118450286,17.0,9.0,,15.111409445492898,,5.834449240376565,6,1,10,1,1,19,0.18000143513203204
2026-03-09,SKU-0001,0.0,0.0,2285.5,1,False,False,False,11,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,18.0,7.0,,12.682838016921469,,8.038936439731195,0,0,11,1,1,20,0.18000143513203204
2026-03-10,SKU-0001,0.0,0.0,2285.5,1,False,False,False,11,3,Spring,0,Spring Sale,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,20.0,11.0,,10.111409445492898,,8.888601772454495,1,0,11,1,1,21,0.18000143513203204
2026-03-11,SKU-0001,0.0,0.0,2787.2,0,False,False,False,11,3,Spring,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,15.0,6.0,,7.254266588350041,,8.380105105670872,2,0,11,0,0,22,0.0
2026-03-12,SKU-0001,0.0,0.0,2787.2,0,False,False,False,11,3,Spring,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,14.0,10.0,,5.111409445492898,,7.977490311288279,3,0,11,0,0,23,0.0
2026-03-13,SKU-0001,0.0,0.0,2787.2,0,False,False,False,11,3,Spring,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,19.0,6.0,,3.111409445492898,,7.082391009562512,4,0,11,0,0,24,0.0
2026-03-14,SKU-0001,0.0,0.0,2787.2,0,False,False,False,11,3,Spring,0,,Small Appliances,Air Purifiers,2026-02-17,1462.76,2787.2,0.0,198.2,18.0,129.4,0.0,2.779866118450286,7.0,,0.39712373120718375,,1.050690632496313,5,1,11,0,0,25,0.0
